City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,masuguru,-11.3667,38.4167,23.19,99,100,1.53,TZ,1707275587
336,swainsboro,32.5974,-82.3337,7.03,61,0,1.54,US,1707275478
337,kavaratti,10.5669,72.642,27.99,72,32,3.89,IN,1707275588
338,dingwall,57.5953,-4.4272,2.02,87,98,2.11,GB,1707275588
339,kamar mushani,32.8439,71.3669,11.77,44,61,1.37,PK,1707275588
340,bonthe,7.5264,-12.505,25.32,93,0,1.26,SL,1707275588
341,wakkanai,45.4094,141.6739,-4.39,64,71,1.79,JP,1707275588
342,archangelos,36.2149,28.1149,12.99,84,4,1.35,GR,1707275588
343,vasylkiv,50.1869,30.3135,7.89,80,100,8.04,UA,1707275556
344,balapur,20.6667,76.7667,23.49,44,0,1.68,IN,1707275589
345,spas-klepiki,55.1347,40.1767,-15.04,100,100,0.35,RU,1707275589
346,vuktyl,63.8567,57.3094,-19.94,95,100,1.34,RU,1707275589
347,tofol,5.3248,163.0078,30.88,66,75,7.72,FM,1707275589
348,ulladulla,-35.35,150.4667,20.25,65,82,5.09,AU,1707275589
349,magdagachi,53.45,125.8,-9.44,74,100,2.33,RU,1707275589
350,lerwick,60.1545,-1.1494,0.0,58,99,7.13,GB,1707275589
351,shimoda,34.6667,138.95,4.5,72,96,3.5,JP,1707275589
352,puerto leguizamo,-0.1934,-74.7819,22.88,99,92,1.11,CO,1707275590
353,saquarema,-22.92,-42.5103,24.21,90,100,1.47,BR,1707275590
354,kurtamysh,54.9103,64.4319,-2.47,91,100,6.71,RU,1707275590
355,leon,21.1167,-101.6667,20.03,17,0,2.21,MX,1707275590
356,guiuan,11.0333,125.7247,26.95,77,95,7.01,PH,1707275590
357,ponta delgada,37.7333,-25.6667,18.4,88,75,8.75,PT,1707275590
358,tsiombe,-25.3,45.4833,22.35,92,5,1.53,MG,1707275591
359,pula,44.8683,13.8481,10.31,93,75,0.0,HR,1707275591
360,masumbwe,-3.6333,32.1833,17.27,95,24,1.08,TZ,1707275363
361,shwebo,22.5667,95.7,24.28,45,0,2.42,MM,1707275295
362,santiago,-33.4569,-70.6483,24.08,49,0,3.6,CL,1707275591
363,tha yang,12.9577,99.9055,32.77,36,0,0.1,TH,1707275591
364,cururupu,-1.8283,-44.8683,24.89,95,27,1.76,BR,1707275592
365,ban karon,7.8477,98.2985,29.95,70,100,3.0,TH,1707275592
366,pitimbu,-7.4706,-34.8086,28.33,78,30,3.39,BR,1707275592
